,date,name,score,score_day_1,score_day_2,score_day_3,score_day_4,score_day_5,score_day_6,score_day_7,score_day_8,score_day_9,score_day_10,score_day_11,score_day_12,score_day_13,score_day_14
397,2016-12-02,yelp,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058,0.5365853658536586
399,2016-12-03,yelp,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603,0.427536231884058
402,2016-12-04,yelp,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597,0.4603174603174603
690,2017-11-19,yelp,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545,0.408955223880597
692,2017-11-20,yelp,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826,0.43543543543543545
694,2017-11-21,yelp,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333,0.5217391304347826
696,2017-11-22,yelp,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182,0.3333333333333333
698,2017-11-23,yelp,0.5,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0,0.8181818181818182
700,2017-11-24,yelp,0.3333333333333333,0.5,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4,0.0
702,2017-11-25,yelp,0.6363636363636364,0.3333333333333333,0.5,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855,0.4
705,2017-11-26,yelp,0.3246753246753247,0.6363636363636364,0.3333333333333333,0.5,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6,0.42857142857142855
706,2017-11-27,yelp,0.5602409638554217,0.3246753246753247,0.6363636363636364,0.3333333333333333,0.5,0.2,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.43169398907103823,0.4662379421221865,0.2925531914893617,0.4214876033057851,0.5,0.6
